codigo,nombre_iniciativa,facultad,carrera,instrumento,anio,semestre,modalidad,estado_sisav,n_estudiantes,n_academicos,n_titulados,n_empleadores,n_organizaciones_osc,n_titulados_charlista,n_titulados_expositor,n_titulados_asistente,n_empleadores_charlista,n_empleadores_expositor,n_empleadores_asistente,n_organizaciones_osc_charlista,n_organizaciones_osc_expositor,n_organizaciones_osc_asistente,competencia_sello,sello_tecnologia,sello_responsabilidad_social,sello_sustentabilidad,sello_genero,competencia_generica,dominios_disciplinares,ciclo_estudio,internacionalizacion,catedra_asignatura,comuna_rm,evidencia,cantidad_act_planificadas,cantidad_act_ejecutadas,requiere_revision,motivo_revision,_archivo_origen,_anio,_origen_dato
DEMO-0128,Iniciativa demo 0128,FAE,Administración_Pública,EXTENSION,2022,1S,Presencial,EJECUCION,114.0,2.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,RESPONSABILIDAD_SOCIAL; TECNOLOGIA,True,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Capacidad Analítica y Crítica Ética y compromiso,0,False,Recursos Turísticos I,La Florida,SI,1.0,1.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0129,Iniciativa demo 0129,FAE,Contador_Público_y_Auditor,EXTENSION,2022,1S,Presencial,EJECUCION,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TECNOLOGIA; SUSTENTABILIDAD; RESPONSABILIDAD_SOCIAL,True,True,True,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Competencias identitarias Diseño UTEM,2,False,Introducción a las ciencias farmacéuticas,Estacion Central,SI,4.0,4.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0130,Iniciativa demo 0130,FAE,Contador_Público_y_Auditor,VEDP,2022,2S,Presencial,EJECUCION,83.0,0.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,3.0,Responsabilidad social,False,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,". Capacidad de usar software especializados ligados al área gráfica; . Capacidad de abstraer conocimientos de geométrica y matemática para desarrollar todo tipo de dibujos octogonales, con curvatura, formas regulares (polígono), enlaces entre rectos y curvas (en modelos computacionales o manuales); . Capacidad de analizar y aplicar conceptos básicos de gestión en las actividades interdisciplinarias; . Adecuación de conocimientos del área gráfica tecnológica a proyectos de diferentes ámbitos del conocimiento; . Principios gráficos tecnológicos en mecánica y edificación; . Diseño de productos mecánicos y de ingeniería industrial; . Proyectos de edificación",0,True,Introducción al Derecho,Melipilla,SI,4.0,3.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0131,Iniciativa demo 0131,FING,Ingeniería_Civil_Industrial,VEDP,2022,2S,Presencial,EJECUCION,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Responsabilidad social; Inclusión,False,True,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar","Procesos en la industria alimentario,Innovación en procesos y productos alimentarios",1,False,Práctica Profesional,Lo Prado,SI,7.0,6.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0132,Iniciativa demo 0132,FCCOT,Ingeniería_en_Construcción,EXTENSION,2022,2S,Hibrida,EJECUCION,32.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,RESPONSABILIDAD_SOCIAL,False,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Proyectual; Expresivo tecnológico; Histórico teórico,0,False,Gestión documental en las empresas,Pedro Aguirre Cerda,SI,1.0,1.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0133,Iniciativa demo 0133,FCCOT,Ingeniería_en_Construcción,EXTENSION,2022,1S,Presencial,EJECUCION,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,TECNOLOGIA,True,False,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar",Competencias identitarias Diseño UTEM; Competencias RED CRUCH,2,False,Ingeniería de Software,Quilicura,SI,2.0,2.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0134,Iniciativa demo 0134,FHTCS,Diseño_en_Comunicación_Visual,EXTENSION,2022,2S,Presencial,EJECUCION,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Responsabilidad social,False,True,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar",Línea de Auditoria y Ética Profesional,3,False,Electivo Turismo Deportivo,Independencia,SI,5.0,4.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0135,Iniciativa demo 0135,FHTCS,Diseño_en_Comunicación_Visual,EXTENSION,2022,2S,Presencial,EJECUCION,8.0,1.0,40.0,1.0,0.0,0.0,7.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,RESPONSABILIDAD_SOCIAL,False,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Diseño de Sistemas y Procesos Organizacionales, Evaluación y Desarrollo de Sistemas y Procesos Organizacionales, Gestión y Dirección Organizacional",1,True,Introducción a la Bibliotecología y Documentación; Gestión de unidades de Información I,La Cisterna,SI,1.0,1.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0136,Iniciativa demo 0136,FING,Ingeniería_en_Informática,VEDP,2022,1S,Presencial,EJECUCION,7.0,2.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,14.0,RESPONSABILIDAD_SOCIAL; TECNOLOGIA; SUSTENTABILIDAD,True,True,True,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Ciencias de la ingeniería; Administración y gestión de proyectos en biomedicina,2,False,Ingenieria de fermentaciones,La Reina,SI,3.0,1.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0137,Iniciativa demo 0137,FING,Ingeniería_Civil_Industrial,FCR,2022,1S,Online,EJECUCION,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,SUSTENTABILIDAD; RESPONSABILIDAD_SOCIAL,False,True,True,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Planificación y Gestión Turística,2,False,"DISEÑO INDUSTRIAL III,DISEÑO INDUSTRIAL VII",Santiago,SI,3.0,3.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0138,Iniciativa demo 0138,FHTCS,Trabajo_Social,FCR,2022,2S,Presencial,EJECUCION,46.0,0.0,11.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,RESPONSABILIDAD_SOCIAL,False,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Diseño de Sistemas y Procesos Organizacionales, Evaluación y Desarrollo de Sistemas y Procesos Organizacionales, Gestión y Dirección Organizacional",2,False,Gestión Logística,Puente Alto,SI,1.0,1.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0139,Iniciativa demo 0139,FHTCS,Diseño_en_Comunicación_Visual,EXTENSION,2022,1S,Presencial,EJECUCION,146.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,RESPONSABILIDAD_SOCIAL; SUSTENTABILIDAD,False,True,True,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Gestión y supervisión de proyectos eléctricos, electrónicos, de telecomunicaciones y control",2,False,"Profesionales del medio, tituladas de la carrera, expositoras para charlas a primeros años.",Maipu,SI,1.0,1.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0140,Iniciativa demo 0140,FING,Ingeniería_Civil_en_Ciencias_de_Datos,VEDP,2022,2S,Presencial,NO REALIZADO,17.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SUSTENTABILIDAD; TECNOLOGIA,True,False,True,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar",Proyectar e Investigar,1,False,"Ingeniería de Procesos Alimentarios II,Técnicas de Conservación de Alimentos",Colina,SI,5.0,5.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0141,Iniciativa demo 0141,FHTCS,Cartografía_y_Geomática,VEDP,2022,2S,Presencial,NO REALIZADO,17.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,Tecnología; Sostenibilidad,True,False,True,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Administrador y diseñador de sistemas y servicios documentales, bibliográficos y administrativos; Creador y administrador de organizaciones de información: archivos, centros de documentación, bibliotecas físicas y digitales; Gestor, analizador y creador de recursos informativos en sistemas y redes; Garante del patrimonio cultural documental",2,False,Fotografía II,Melipilla,SI,1.0,1.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0142,Iniciativa demo 0142,FCNMMA,Ingeniería_en_Biotecnología,EXTENSION,2022,2S,Presencial,EJECUCION,60.0,0.0,10.0,1.0,0.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,TECNOLOGIA,True,False,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar","Proyectar, Investigar, Valorar",3,False,Ingeniería de Software,Colina,SI,4.0,4.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0143,Iniciativa demo 0143,FING,Ingeniería_Civil_en_Ciencias_de_Datos,VEDP,2022,2S,Presencial,EJECUCION,5.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RESPONSABILIDAD_SOCIAL,False,True,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar",Diseño y desarrollo de soluciones electrónicas,3,False,Gestión Logística,La Pintana,SI,4.0,3.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0144,Iniciativa demo 0144,FING,Ingeniería_Civil_en_Computación_Mención_Informática,VEDP,2022,1S,Presencial,EJECUCION,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RESPONSABILIDAD_SOCIAL,False,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Ciencias básicas,1,False,Introducción a la Ingeniería Biomédica,San Bernardo,NO,3.0,3.0,True,sin evidencia,generador_sintetico_seed42,2022,sintetico
DEMO-0145,Iniciativa demo 0145,FHTCS,Diseño_Industrial,VEDP,2022,1S,Presencial,EJECUCION,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TECNOLOGIA; RESPONSABILIDAD_SOCIAL,True,True,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar",Gestión organizacional pública; Gestión de políticas públicas,2,False,Electivo Turismo Deportivo,Lo Barnechea,SI,2.0,2.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0146,Iniciativa demo 0146,FHTCS,Trabajo_Social,EXTENSION,2022,2S,Online,EJECUCION,114.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,Tecnología,True,False,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar",Histórico teórico,1,False,Fotografía II,La Pintana,SI,1.0,1.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0147,Iniciativa demo 0147,FING,Ingeniería_Civil_en_Computación_Mención_Informática,VEDP,2022,1S,Presencial,EJECUCION,47.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,Tecnología,True,False,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Dominios disciplinares; . Diseño de sistemas y procesos organizacionales, evaluación y desarrollo de sistemas y procesos organizacionales, gestión y dirección organizacional; . Diseño y gestión de procesos productivos agroindustriales, evaluación y desarrollo de sistemas y procesos organizacionales, gestión y dirección organizacional; . Planificar, programar, diseñar, ejecutar, optimizar, dirigir, supervisar, y evaluar procesos productivos en industrias de su competencia profesional. Integración conceptual, gráfica de diferentes componentes de la tecnología, conducentes a la presentación de la creación de procesos, equipos y productos. El diseño moderno y la operación de sus sistemas tecnológicos",2,True,"Profesionales del medio, tituladas de la carrera, expositoras para charlas a primeros años.",San Bernardo,SI,5.0,5.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0148,Iniciativa demo 0148,FCCOT,Arquitectura,VEDP,2022,2S,Presencial,EJECUCION,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tecnología; Sostenibilidad,True,False,True,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Diseño de Sistemas y Procesos Organizacionales, Evaluación y Desarrollo de Sistemas y Procesos Organizacionales, Gestión y Dirección Organizacional",0,False,Big Data,Cerrillos,SI,1.0,1.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0149,Iniciativa demo 0149,FHTCS,Trabajo_Social,EXTENSION,2023,2S,Presencial,FINALIZADO,39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SUSTENTABILIDAD,False,False,True,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar; Competencias para la empleabilidad y el Aprendizaje Continuo","Gestión y supervisión de proyectos eléctricos, electrónicos, de telecomunicaciones y control",1,False,taller IV,Lo Barnechea,SI,1.0,1.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0150,Iniciativa demo 0150,FCNMMA,Ingeniería_en_Industria_Alimentaria,EXTENSION,2023,2S,Hibrida,FINALIZADO,31.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,20.0,Responsabilidad social,False,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Fundamentos para la Bibliotecología y Documentación,2,False,Tópicos Avanzados,Colina,SI,7.0,7.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0151,Iniciativa demo 0151,FING,Ingeniería_Civil_en_Ciencias_de_Datos,EXTENSION,2023,1S,Presencial,EJECUCION,48.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,TECNOLOGIA,True,False,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Fundamentos para la Bibliotecología y Documentación; Fundamentos e investigación bibliotecología,3,False,Introducción a las ciencias farmacéuticas,La Granja,SI,2.0,1.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0152,Iniciativa demo 0152,FHTCS,Diseño_en_Comunicación_Visual,EXTENSION,2023,2S,Presencial,FINALIZADO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Tecnología; Responsabilidad social,True,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Es un profesional del más alto nivel capaz de trabajar en forma independiente o en grupos interdisciplinarios; cuenta con una sólida formación en los diferentes campos de las ciencias básicas, ciencias de la ingeniería y biotecnología",0,False,Diseño Industrial IV,San Joaquin,SI,1.0,1.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0153,Iniciativa demo 0153,FHTCS,Trabajo_Social,VEDP,2023,2S,Presencial,FINALIZADO,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RESPONSABILIDAD_SOCIAL,False,True,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar",Gestión Informática; Tecnologías de información y comunicación; Ingeniería de software; Sistemas de Información; Desarrollo de Software; Redes de Datos,2,True,DIseño INDUSTRIAL I Y II,Estacion Central,SI,7.0,6.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0154,Iniciativa demo 0154,FCCOT,Ingeniería_en_Construcción,EXTENSION,2023,2S,Presencial,NO REALIZADO,59.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,Responsabilidad social; Inclusión,False,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Procesos en la industria alimentario, Calidad e inocuidad alimentaria y nutricional, Innovación en procesos y productos alimentarios",2,False,Trabajo de titulo II,Maipu,SI,1.0,1.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0155,Iniciativa demo 0155,FHTCS,Diseño_en_Comunicación_Visual,FCR,2023,1S,Presencial,FINALIZADO,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tecnología; Responsabilidad social,True,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Asesoria y Repressentación e Investigación,3,False,DESARROLLO SUSTENTABLE EN CONSTRUCCION,San Miguel,SI,1.0,1.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0156,Iniciativa demo 0156,FCCOT,Arquitectura,EXTENSION,2023,1S,Presencial,FINALIZADO,83.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUSTENTABILIDAD; TECNOLOGIA; RESPONSABILIDAD_SOCIAL,True,True,True,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar","Proyectual, Expresivo tecnológico",2,False,"Química Inorgánica , Análisis Espectroscópico Clásico",Quilicura,SI,2.0,2.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0157,Iniciativa demo 0157,FCCOT,Ingeniería_en_Construcción,EXTENSION,2023,1S,Presencial,NO REALIZADO,46.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,RESPONSABILIDAD_SOCIAL; TECNOLOGIA,True,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Diseño de Sistemas y Procesos Organizacionales, Evaluación y Desarrollo de Sistemas y Procesos Organizacionales, Gestión y Dirección Organizacional",1,False,unidad de investigación,Vitacura,SI,4.0,3.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0158,Iniciativa demo 0158,FHTCS,Diseño_en_Comunicación_Visual,VEDP,2023,1S,Online,FINALIZADO,43.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tecnología; Responsabilidad social,True,True,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar",Gestión Informática; Tecnologías de información y comunicación; Ingeniería de software,1,False,gestión de operaciones- gestión logística-planificación y control de gestión.,Quinta Normal,SI,6.0,4.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0159,Iniciativa demo 0159,FHTCS,Diseño_Industrial,VEDP,2023,1S,Presencial,EJECUCION,0.0,1.0,1.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,12.0,Tecnología; Sostenibilidad,True,False,True,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar","Ciencias básicas,Modelación matemático-estadística para la resolución de problemas",2,False,Práctica Profesional,La Florida,SI,4.0,4.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0160,Iniciativa demo 0160,FCCOT,Arquitectura,VEDP,2023,2S,Presencial,EJECUCION,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,SUSTENTABILIDAD; RESPONSABILIDAD_SOCIAL,False,True,True,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Políticas sociales y participación en lo público Capacidad Analítica y Crítica,1,False,Dibujo Técnico I,La Granja,SI,7.0,5.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0161,Iniciativa demo 0161,FAE,Bibliotecología_y_Documentación,EXTENSION,2023,2S,Presencial,EJECUCION,19.0,2.0,1.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,5.0,TECNOLOGIA,True,False,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Diseñar y Proyectar obras civiles, Gestionar y Administrar Proyectos y Procesos Constructivos, Desarrollar y Ejecutar Proyectos y Procesos Constructivos",3,False,Construcción I,La Florida,NO,1.0,1.0,True,sin evidencia,generador_sintetico_seed42,2023,sintetico
DEMO-0162,Iniciativa demo 0162,FCCOT,Arquitectura,VEDP,2023,1S,Presencial,EJECUCION,40.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Responsabilidad social,False,True,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar; Competencias para la empleabilidad y el Aprendizaje Continuo",Competencias identitarias Diseño UTEM,3,False,Taller de Titulación Diseño Industria,San Bernardo,NO,3.0,3.0,True,sin evidencia,generador_sintetico_seed42,2023,sintetico
DEMO-0163,Iniciativa demo 0163,FAE,Ingeniería_en_Comercio_Internacional,EXTENSION,2023,1S,Presencial,EJECUCION,52.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,Tecnología; Responsabilidad social,True,True,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar",Asesoria y Repressentación e Investigación,3,False,Inglés III,Nunoa,SI,1.0,1.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0164,Iniciativa demo 0164,FAE,Ingeniería_en_Gestión_Turística,EXTENSION,2023,2S,Presencial,NO REALIZADO,43.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TECNOLOGIA,True,False,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar","Competencias identitarias Diseño UTEM, Competencias Red CRUCH",1,False,Introducción a la Ingenería Biomédica,Conchali,SI,6.0,6.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0165,Iniciativa demo 0165,FCCOT,Arquitectura,VEDP,2023,2S,Online,EJECUCION,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tecnología,True,False,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar",Gestión organizacional pública; Gestión de políticas públicas,2,True,Regimenes Aduaneros y Acuerdos Internacionales,Melipilla,SI,6.0,6.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0166,Iniciativa demo 0166,FAE,Ingeniería_en_Gestión_Turística,EXTENSION,2023,1S,Presencial,NO REALIZADO,19.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,RESPONSABILIDAD_SOCIAL,False,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Gestión Informática; Tecnologías de información y comunicación; Ingeniería de software,2,False,Trabajo de título,San Miguel,NO,2.0,2.0,True,sin evidencia,generador_sintetico_seed42,2023,sintetico
DEMO-0167,Iniciativa demo 0167,FHTCS,Diseño_en_Comunicación_Visual,EXTENSION,2023,2S,Presencial,EJECUCION,88.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Responsabilidad social,False,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Diseñar y Proyectar obras civiles, Gestionar y Administrar Proyectos y Procesos Constructivos, Desarrollar y Ejecutar Proyectos y Procesos Constructivos",0,False,Diseño y gestión de proyectos sociales,Vitacura,SI,5.0,5.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0168,Iniciativa demo 0168,FING,Ingeniería_Industrial,VEDP,2023,1S,Presencial,EJECUCION,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RESPONSABILIDAD_SOCIAL; TECNOLOGIA; SUSTENTABILIDAD,True,True,True,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Es un profesional del más alto nivel capaz de trabajar en forma independiente o en grupos interdisciplinarios; cuenta con una sólida formación en los diferentes campos de las ciencias básicas, ciencias de la ingeniería y biotecnología; Posee la capacidad de autoaprendizaje, manejo de la comunicación oral y escrita, incluyendo el idioma inglés",1,False,Recursos Turísticos i,Quilicura,SI,3.0,3.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0169,Iniciativa demo 0169,FING,Ingeniería_Civil_Industrial,VEDP,2023,2S,Presencial,EJECUCION,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,RESPONSABILIDAD_SOCIAL,False,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Planificar y Gestionar,1,False,Ingeniería metabólica y fermentaciones,La Reina,SI,1.0,1.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0170,Iniciativa demo 0170,FHTCS,Cartografía_y_Geomática,FCR,2023,2S,Presencial,FINALIZADO,19.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RESPONSABILIDAD_SOCIAL,False,True,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Es un profesional del más alto nivel capaz de trabajar en forma independiente o en grupos interdisciplinarios; cuenta con una sólida formación en los diferentes campos de las ciencias básicas, ciencias de la ingeniería y biotecnología; Posee la capacidad de autoaprendizaje, manejo de la comunicación oral y escrita, incluyendo el idioma inglés",1,False,Introducción a la Bibliotecología y Documentación; Gestión de unidades de Información I,Lo Espejo,SI,3.0,2.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0171,Iniciativa demo 0171,FING,Ingeniería_Civil_en_Mecánica,EXTENSION,2023,1S,Presencial,EJECUCION,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOSTENIBILIDAD; RESPONSABILIDAD_SOCIAL; TECNOLOGIA,True,True,True,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar",Gestión Informática; Tecnologías de información y comunicación; Ingeniería de software,3,False,Derecho Académico,La Cisterna,SI,7.0,5.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0172,Iniciativa demo 0172,FCCOT,Ingeniería_en_Construcción,VEDP,2023,2S,Online,FINALIZADO,22.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,SOSTENIBILIDAD; RESPONSABILIDAD_SOCIAL; TECNOLOGIA,True,True,True,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Proyectual,3,False,Sin información,Macul,SI,2.0,2.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0173,Iniciativa demo 0173,FHTCS,Diseño_Industrial,VEDP,2023,2S,Presencial,EJECUCION,30.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SUSTENTABILIDAD; TECNOLOGIA,True,False,True,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Tecnologías de información y comunicación: diseña, configura y monitorea redes de computadores. Administra sistemas operativos, sistemas de cuenta de usuarios y plataformas virtuales. Administra con eficiencia conexiones, distribuye recursos y maneja fallas de sistema",1,False,Semiología,Melipilla,SI,1.0,1.0,False,,generador_sintetico_seed42,2023,sintetico
DEMO-0174,Iniciativa demo 0174,FHTCS,Diseño_Industrial,VEDP,2023,2S,Hibrida,EJECUCION,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TECNOLOGIA; SUSTENTABILIDAD; RESPONSABILIDAD_SOCIAL,True,True,True,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Proyectual, Histórico teórico",2,False,unidad de investigación,Providencia,SI,7.0,6.0,False,,generador_sintetico_seed42,2023,sintetico
